,listing_id,museum_rating
0,2515,3.4
1,2539,3.1
2,3330,2.8
3,3647,2.4
4,3831,2.65
5,5022,3.2
6,5099,2.1
7,5121,2.85
8,5172,2.4
9,5178,2.7
10,5203,3.05
11,5216,2.25
12,5238,1.9
13,5295,3.05
14,5435,3.05
15,5803,2.9
16,6021,3.2
17,6090,2.75
18,6848,2.15
19,6990,3.15
20,7036,2.5
21,7064,2.45
22,7097,2.2
23,7241,2.35
24,7322,1.7
25,7726,3.0
26,7801,2.65
27,7970,2.25
28,8024,2.8
29,8025,2.8
30,8110,2.8
31,8225,3.4
32,8343,2.65
33,8490,2.5
34,8505,2.7
35,8700,2.15
36,9357,2.45
37,9518,2.4
38,9657,2.1
39,9668,2.9
40,9704,2.7
41,9782,3.1
42,9783,2.7
43,10452,2.65
44,10962,2.9
45,11708,2.05
46,11943,2.9
47,12048,2.05
48,12192,2.55
49,12299,2.65
50,12303,2.25
51,12343,2.35
52,12627,3.15
53,12940,2.85
54,13050,2.4
55,13076,3.3
56,13121,2.1
57,13394,2.2
58,13414,2.65
59,13552,2.35
60,13808,2.6
61,14290,2.05
62,14314,2.75
63,14322,2.4
64,14377,2.5
65,14694,2.7
66,14708,2.7
67,14991,2.3
68,15230,2.4
69,15338,3.05
70,15341,2.1
71,15385,2.6
72,15491,2.4
73,15493,2.6
74,15509,2.4
75,15729,3.15
76,16326,3.3
77,16338,2.4
78,16421,2.3
79,16458,2.6
80,16580,2.2
81,16595,2.45
82,16821,2.5
83,16974,3.0
84,16990,2.6
85,17092,2.8
86,17240,2.4
87,17297,2.3
88,17298,2.3
89,17299,2.3
90,17453,2.0
91,17693,3.15
92,17747,2.85
93,18127,2.7
94,18195,2.5
95,18198,2.3
96,18590,2.15
97,18728,2.3
98,18764,2.6
99,19050,3.2
100,19159,2.7
101,19169,1.85
102,19174,2.0
103,19282,3.3
104,19319,1.65
105,19601,2.7
106,19812,2.65
107,20299,2.3
108,20300,2.0
109,20611,2.6
110,20734,2.8
111,20755,2.85
112,20853,2.85
113,20913,2.5
114,21293,1.8
115,21456,3.25
116,21644,3.1
117,21794,2.3
118,22911,2.3
119,22918,2.9
120,23135,3.1
121,23180,2.4
122,23501,3.15
123,23545,3.05
124,23686,3.5
125,24143,2.35
126,24261,2.4
127,24266,2.4
128,24269,2.6
129,24281,2.4
130,24285,2.4
131,25192,2.8
132,25235,2.3
133,25406,2.8
134,25696,2.4
135,26012,3.05
136,26520,2.85
137,26540,2.2
138,26559,2.0
139,26785,2.9
140,26864,2.6
141,26954,2.55
142,26969,2.65
143,27006,2.75
144,27385,2.2
145,27531,2.65
146,27644,3.15
147,27659,2.65
148,27759,2.55
149,27883,2.7
150,28321,3.3
151,28396,2.6
152,28907,2.55
153,29012,2.4
154,29013,2.8
155,29414,2.05
156,29455,2.6
157,29628,2.85
158,30031,2.95
159,30222,2.35
160,30970,2.8
161,31130,2.65
162,31555,2.2
163,31902,3.25
164,31994,2.65
165,32023,2.3
166,32037,2.85
167,32100,2.75
168,32289,2.7
169,32329,1.85
170,32331,2.85
171,32363,2.55
172,32965,2.3
173,32969,2.7
174,33009,2.65
175,33223,2.6
176,33810,2.95
177,34760,2.2
178,35526,2.1
179,36121,3.3
180,36133,2.65
181,36240,2.1
182,36442,3.3
183,36647,3.2
184,36703,3.3
185,36934,2.6
186,37197,2.3
187,38182,2.0
188,38638,1.8
189,38663,2.75
190,38780,3.05
191,39267,2.0
192,39282,2.55
193,39572,2.3
194,39593,2.75
195,39704,2.8
196,39755,3.0
197,40039,2.05
198,40884,3.1
199,41348,2.9
200,41386,2.9
201,41513,3.15
202,42580,2.65
203,42729,3.1
204,42882,3.55
205,43957,1.8
206,44096,3.35
207,44212,2.45
208,44221,2.6
209,44229,2.2
210,44288,2.3
211,44506,2.6
212,45393,2.6
213,45542,3.2
214,45556,2.15
215,45689,2.1
216,45910,2.05
217,45936,2.6
218,45940,2.65
219,46544,2.8
220,46723,2.8
221,46859,2.4
222,46911,2.85
223,47199,2.1
224,47362,2.6
225,47370,2.15
226,48719,1.85
227,49715,2.8
228,50174,2.6
229,50447,2.9
230,51438,1.85
231,51485,2.65
232,51533,2.3
233,51850,2.1
234,51852,2.1
235,53137,2.65
236,53196,1.9
237,53469,2.85
238,53470,2.05
239,53477,2.85
240,54158,2.65
241,54453,2.7
242,54466,3.1
243,54508,2.85
244,54544,2.4
245,54626,3.35
246,54694,2.1
247,54860,3.2
248,55236,2.7
249,55320,2.65
250,55467,2.95
