,listing_id,avg_museum_rating,avg_restaurant_rating
0,2515,3.4,4.02
1,2539,3.1,4.26
2,3330,2.8,4.14
3,3647,2.4,4.05
4,3831,2.65,4.44
5,5022,3.2,4.12
6,5099,2.1,4.12
7,5121,2.85,4.27
8,5172,2.4,4.13
9,5178,2.7,4.07
10,5203,3.05,4.17
11,5216,2.25,4.24
12,5238,1.9,4.21
13,5295,3.05,4.2
14,5435,3.05,4.07
15,5803,2.9,4.14
16,6021,3.2,4.15
17,6090,2.75,4.22
18,6848,2.15,4.44
19,6990,3.15,4.21
20,7036,2.5,3.59
21,7064,2.45,4.55
22,7097,2.2,4.05
23,7241,2.35,4.28
24,7322,1.7,4.19
25,7726,3.0,4.29
26,7801,2.65,4.31
27,7970,2.25,4.31
28,8024,2.8,4.2
29,8025,2.8,4.25
30,8110,2.8,4.2
31,8225,3.4,4.04
32,8343,2.65,4.47
33,8490,2.5,4.06
34,8505,2.7,4.15
35,8700,2.15,3.86
36,9357,2.45,4.33
37,9518,2.4,4.22
38,9657,2.1,4.43
39,9668,2.9,4.22
40,9704,2.7,3.87
41,9782,3.1,4.08
42,9783,2.7,3.79
43,10452,2.65,4.11
44,10962,2.9,4.16
45,11708,2.05,4.38
46,11943,2.9,3.81
47,12048,2.05,4.28
48,12192,2.55,4.26
49,12299,2.65,4.27
50,12303,2.25,4.01
51,12343,2.35,3.99
52,12627,3.15,4.11
53,12940,2.85,4.03
54,13050,2.4,3.96
55,13076,3.3,4.36
56,13121,2.1,3.56
57,13394,2.2,4.13
58,13414,2.65,4.31
59,13552,2.35,3.99
60,13808,2.6,3.88
61,14290,2.05,4.44
62,14314,2.75,4.31
63,14322,2.4,3.99
64,14377,2.5,4.04
65,14694,2.7,3.81
66,14708,2.7,3.81
67,14991,2.3,4.34
68,15230,2.4,4.26
69,15338,3.05,4.01
70,15341,2.1,4.34
71,15385,2.6,4.4
72,15491,2.4,4.25
73,15493,2.6,4.34
74,15509,2.4,4.31
75,15729,3.15,4.54
76,16326,3.3,4.32
77,16338,2.4,4.39
78,16421,2.3,4.21
79,16458,2.6,4.38
80,16580,2.2,4.24
81,16595,2.45,4.43
82,16821,2.5,4.18
83,16974,3.0,3.87
84,16990,2.6,4.34
85,17092,2.8,4.29
86,17240,2.4,4.31
87,17297,2.3,4.07
88,17298,2.3,4.18
89,17299,2.3,4.18
90,17453,2.0,4.46
91,17693,3.15,4.07
92,17747,2.85,4.18
93,18127,2.7,4.4
94,18195,2.5,4.12
95,18198,2.3,4.03
96,18590,2.15,4.04
97,18728,2.3,4.22
98,18764,2.6,4.4
99,19050,3.2,3.95
100,19159,2.7,4.09
101,19169,1.85,4.06
102,19174,2.0,4.03
103,19282,3.3,4.05
104,19319,1.65,4.11
105,19601,2.7,4.23
106,19812,2.65,4.34
107,20299,2.3,4.38
108,20300,2.0,4.35
109,20611,2.6,4.41
110,20734,2.8,4.07
111,20755,2.85,4.28
112,20853,2.85,4.32
113,20913,2.5,4.35
114,21293,1.8,4.14
115,21456,3.25,4.1
116,21644,3.1,4.22
117,21794,2.3,4.14
118,22911,2.3,4.03
119,22918,2.9,4.26
120,23135,3.1,4.29
121,23180,2.4,4.26
122,23501,3.15,3.9
123,23545,3.05,4.12
124,23686,3.5,4.54
125,24143,2.35,4.27
126,24261,2.4,4.38
127,24266,2.4,4.38
128,24269,2.6,4.37
129,24281,2.4,4.39
130,24285,2.4,4.18
131,25192,2.8,3.82
132,25235,2.3,4.03
133,25406,2.8,4.33
134,25696,2.4,4.03
135,26012,3.05,4.23
136,26520,2.85,4.38
137,26540,2.2,4.19
138,26559,2.0,4.43
139,26785,2.9,4.13
140,26864,2.6,4.29
141,26954,2.55,4.05
142,26969,2.65,4.38
143,27006,2.75,4.19
144,27385,2.2,4.34
145,27531,2.65,4.15
146,27644,3.15,4.16
147,27659,2.65,4.27
148,27759,2.55,4.24
149,27883,2.7,4.18
150,28321,3.3,3.97
151,28396,2.6,4.35
152,28907,2.55,4.0
153,29012,2.4,4.02
154,29013,2.8,4.08
155,29414,2.05,4.34
156,29455,2.6,4.23
157,29628,2.85,4.18
158,30031,2.95,4.24
159,30222,2.35,3.92
160,30970,2.8,4.34
161,31130,2.65,4.12
162,31555,2.2,4.31
163,31902,3.25,3.83
164,31994,2.65,4.36
165,32023,2.3,4.16
166,32037,2.85,4.21
167,32100,2.75,4.35
168,32289,2.7,4.37
